"description","amount","unit","kCalories","protein","carbohydrates","fat","vitA","vitB1","vitB2","vitB3","vitB5","vitB6","vitB9","vitB12","vitC","vitD","vitE","vitK","choline","calcium","copper","iron","magnesium","manganese","phosphorus","potassium","selenium","sodium","zinc","water","fiber","cholesterol","saturatedFat","monoUnsaturatedFat","polyUnsaturatedFat","glycemicIndex","comments",
"Pera perilla P.C.",100,"gr","64.50","0.6","14.4","0.5",0,0,0,0,0,0,0,0,"3.60",0,0,0,0,10,0,"0.50",0,0,18,0,0,0,"0.0","84.2",0,0,0,0,0,0,0,0,
"Piña P.C.",100,"gr","42.60","0.4","9.8","0.2",0,0,0,0,0,0,0,0,"19.90",0,0,0,0,10,0,"0.40",0,0,5,0,0,0,"0.10","89.3",0,0,0,0,0,0,0,0,
"Plátano de isla P.C.",100,"gr","101.60","0.9","23.6","0.4",0,0,0,0,0,0,0,0,"4.20",0,0,0,0,8,0,"0.60",0,0,20,0,0,0,"0.15","74.0",0,0,0,0,0,0,0,0,
"Plátano de seda P.C.",100,"gr","92.70","1.5","21.0","0.3",0,0,0,0,0,0,0,0,"4.30",0,0,0,0,5,0,"0.60",0,0,27,0,0,0,"0.15","76.2",0,0,0,0,0,0,0,0,
"Plátano guineo P.C.",100,"gr","134.20","1.4","31.7","0.2",0,0,0,0,0,0,0,0,"1.10",0,0,0,0,10,0,"0.60",0,0,23,0,0,0,"0.15","65.9",0,0,0,0,0,0,0,0,
"Plátano manzano P.C.",100,"gr","99.80","1.1","23.4","0.2",0,0,0,0,0,0,0,0,"7.30",0,0,0,0,6,0,"0.80",0,0,47,0,0,0,"0.15","74.3",0,0,0,0,0,0,0,0,
"Plátano, harina de",100,"gr","334.40","3.1","79.6","0.4",0,0,0,0,0,0,0,0,"1.30",0,0,0,0,29,0,"3.90",0,0,104,0,0,0,"0.61","14.9",0,0,0,0,0,0,0,0,
"Plátano maduro P.C.",100,"gr","125.00","1.2","29.6","0.2",0,0,0,0,0,0,0,0,"5.60",0,0,0,0,0,0,"0.40",0,0,37,0,0,0,"0.15","68.1",0,0,0,0,0,0,0,0,
"Plátano morado P.C.",100,"gr","118.20","1.0","28.1","0.2",0,0,0,0,0,0,0,0,"2.30",0,0,0,0,42,0,"0.30",0,0,17,0,0,0,"0.15","69.8",0,0,0,0,0,0,0,0,
"Plátano seco (Orejón)",100,"gr","298.40","3.7","68.2","1.2",0,0,0,0,0,0,0,0,"1.80",0,0,0,0,26,0,"0.0",0,0,84,0,0,0,"0.61","24.5",0,0,0,0,0,0,0,0,
"Plátano verde P.C.",100,"gr","169.40","1.0","40.9","0.2",0,0,0,0,0,0,0,0,"10.40",0,0,0,0,8,0,"0.50",0,0,43,0,0,0,"0.14","57.0",0,0,0,0,0,0,0,0,
