"description","amount","unit","kCalories","protein","carbohydrates","fat","vitA","vitB1","vitB2","vitB3","vitB5","vitB6","vitB9","vitB12","vitC","vitD","vitE","vitK","choline","calcium","copper","iron","magnesium","manganese","phosphorus","potassium","selenium","sodium","zinc","water","fiber","cholesterol","saturatedFat","monoUnsaturatedFat","polyUnsaturatedFat","glycemicIndex","comments",
"Ajo sin cáscara",100,"gr","151.20","5.6","30.4","0.8",0,0,0,0,0,0,0,0,"9.10",0,0,0,0,94,0,"1.70",0,0,180,0,0,0,"1.16","61.4",0,0,0,0,0,0,0,0,
"Albahaca sin tallo",100,"gr","51.60","2.9","7.3","1.2",0,0,0,0,0,0,0,0,"20.00",0,0,0,0,325,0,"5.30",0,0,38,0,0,0,"0.85","86.7",0,0,0,0,0,0,0,0,
"Alcachofa P.C.",100,"gr","24.60","2.8","2.9","0.2",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,42,0,"1.10",0,0,51,0,0,0,"0.49","92.9",0,0,0,0,0,0,0,0,
"Apio sin hojas",100,"gr","23.80","0.7","4.8","0.2",0,0,0,0,0,0,0,0,"8.30",0,0,0,0,70,0,"1.50",0,0,28,0,0,0,"0.13","93.4",0,0,0,0,0,0,0,0,
"Berenjena P.C.",100,"gr","42.80","1.0","7.9","0.8",0,0,0,0,0,0,0,0,"6.30",0,0,0,0,20,0,"0.30",0,0,30,0,0,0,"0.16","89.7",0,0,0,0,0,0,0,0,
"Berenjena Costeña o tomate de árbol",100,"gr","47.10","1.3","9.8","0.3",0,0,0,0,0,0,0,0,"2.30",0,0,0,0,18,0,"0.20",0,0,28,0,0,0,"0.0","87.5",0,0,0,0,0,0,0,0,
"Brocoli P.C.",100,"gr","50.50","4.9","5.7","0.9",0,0,0,0,0,0,0,0,"114.00",0,0,0,0,93,0,"1.20",0,0,86,0,0,0,"0.41","87.3",0,0,0,0,0,0,0,0,
"Caigua P.C.",100,"gr","17.00","0.5","3.3","0.2",0,0,0,0,0,0,0,0,"11.40",0,0,0,0,34,0,"0.90",0,0,43,0,0,0,"0.0","95.0",0,0,0,0,0,0,0,0,
"Caigua serrana P.C.",100,"gr","23.30","1.5","4.1","0.1",0,0,0,0,0,0,0,0,"6.90",0,0,0,0,32,0,"0.50",0,0,32,0,0,0,"0.0","93.5",0,0,0,0,0,0,0,0,
"Cebolla blanca P.C.",100,"gr","34.10","0.9","7.4","0.1",0,0,0,0,0,0,0,0,"7.50",0,0,0,0,100,0,"0.20",0,0,33,0,0,0,"0.16","91.2",0,0,0,0,0,0,0,0,
"Cebolla chilena P.C.",100,"gr","27.70","0.8","5.9","0.1",0,0,0,0,0,0,0,0,"3.70",0,0,0,0,20,0,"1.00",0,0,17,0,0,0,"0.16","92.9",0,0,0,0,0,0,0,0,
"Cebollita china P.C.",100,"gr","42.80","2.3","7.5","0.4",0,0,0,0,0,0,0,0,"10.50",0,0,0,0,141,0,"1.10",0,0,61,0,0,0,"0.52","88.7",0,0,0,0,0,0,0,0,
"Col blanca P.C.",100,"gr","27.10","1.3","4.8","0.3",0,0,0,0,0,0,0,0,"31.40",0,0,0,0,46,0,"0.40",0,0,46,0,0,0,"0.18","93.1",0,0,0,0,0,0,0,0,
"Col crespa o repollo, sin cogollo",100,"gr","28.30","1.5","4.9","0.3",0,0,0,0,0,0,0,0,"48.50",0,0,0,0,70,0,"0.40",0,0,69,0,0,0,"0.18","92.4",0,0,0,0,0,0,0,0,
"Coliflor sin tallo y sin hojas",100,"gr","31.80","2.2","4.4","0.6",0,0,0,0,0,0,0,0,"75.30",0,0,0,0,26,0,"0.60",0,0,66,0,0,0,"0.28","91.6",0,0,0,0,0,0,0,0,
"Culantro sin tallo",100,"gr","52.90","3.3","7.0","1.3",0,0,0,0,0,0,0,0,"37.20",0,0,0,0,259,0,"5.30",0,0,63,0,0,0,"0.50","85.6",0,0,0,0,0,0,0,0,
"Chiclayo, calabaza P.C.",100,"gr","25.70","0.6","5.6","0.1",0,0,0,0,0,0,0,0,"3.70",0,0,0,0,13,0,"0.20",0,0,25,0,0,0,"0.74","93.2",0,0,0,0,0,0,0,0,
"Esparragos P.C.",100,"gr","29.00","2.2","4.6","0.2",0,0,0,0,0,0,0,0,"8.00",0,0,0,0,35,0,"1.20",0,0,35,0,0,0,"0.54","92.3",0,0,0,0,0,0,0,0,
"Espinaca blanca P.C.",100,"gr","38.20","1.9","6.3","0.6",0,0,0,0,0,0,0,0,"16.40",0,0,0,0,80,0,"4.60",0,0,40,0,0,0,"0.53","89.5",0,0,0,0,0,0,0,0,
"Espinaca negra sin tronco",100,"gr","38.90","2.8","4.9","0.9",0,0,0,0,0,0,0,0,"15.20",0,0,0,0,234,0,"4.30",0,0,45,0,0,0,"0.53","90.0",0,0,0,0,0,0,0,0,
"Frijolito chino germinado",100,"gr","51.10","4.5","6.7","0.7",0,0,0,0,0,0,0,0,"15.40",0,0,0,0,22,0,"0.80",0,0,261,0,0,0,"0.0","87.4",0,0,0,0,0,0,0,0,
"Hierbabuena P.C.",100,"gr","49.40","3.1","7.0","1.0",0,0,0,0,0,0,0,0,"2.00",0,0,0,0,206,0,"9.10",0,0,70,0,0,0,"1.11","86.7",0,0,0,0,0,0,0,0,
"Huacatay sin tallo",100,"gr","62.40","5.0","8.8","0.8",0,0,0,0,0,0,0,0,"17.10",0,0,0,0,412,0,"8.70",0,0,79,0,0,0,"0.0","83.4",0,0,0,0,0,0,0,0,
"Lechuga americana P.C.",100,"gr","12.90","0.6","2.4","0.1",0,0,0,0,0,0,0,0,"1.50",0,0,0,0,52,0,"0.10",0,0,20,0,0,0,"0.15","96.6",0,0,0,0,0,0,0,0,
"Lechuga larga P.C.",100,"gr","23.40","1.5","3.9","0.2",0,0,0,0,0,0,0,0,"14.50",0,0,0,0,64,0,"1.60",0,0,63,0,0,0,"0.23","93.4",0,0,0,0,0,0,0,0,
"Lechuga redonda P.C.",100,"gr","15.40","1.3","2.1","0.2",0,0,0,0,0,0,0,0,"7.40",0,0,0,0,47,0,"1.00",0,0,49,0,0,0,"0.18","95.7",0,0,0,0,0,0,0,0,
"Nabo P.C.",100,"gr","18.60","0.6","3.6","0.2",0,0,0,0,0,0,0,0,"21.10",0,0,0,0,34,0,"0.10",0,0,34,0,0,0,"0.27","94.7",0,0,0,0,0,0,0,0,
"Nabo, hojas de",100,"gr","43.20","2.9","7.0","0.4",0,0,0,0,0,0,0,0,"49.20",0,0,0,0,367,0,"2.80",0,0,95,0,0,0,"0.19","88.1",0,0,0,0,0,0,0,0,
"Orégano fresco",100,"gr","56.10","1.6","11.3","0.5",0,0,0,0,0,0,0,0,"10.00",0,0,0,0,312,0,"9.30",0,0,46,0,0,0,"0.0","85.1",0,0,0,0,0,0,0,0,
"Pimiento P.C.",100,"gr","41.30","1.5","7.7","0.5",0,0,0,0,0,0,0,0,"108.30",0,0,0,0,12,0,"0.50",0,0,24,0,0,0,"0.25","89.6",0,0,0,0,0,0,0,0,
"Poro sin hojas",100,"gr","48.40","2.7","7.6","0.8",0,0,0,0,0,0,0,0,"8.60",0,0,0,0,78,0,"0.70",0,0,50,0,0,0,"0.12","87.8",0,0,0,0,0,0,0,0,
"Rabanitos P.C.",100,"gr","15.70","0.8","2.9","0.1",0,0,0,0,0,0,0,0,"18.60",0,0,0,0,36,0,"1.00",0,0,29,0,0,0,"0.28","95.1",0,0,0,0,0,0,0,0,
"Rocoto fresco P.C.",100,"gr","42.10","1.2","8.2","0.5",0,0,0,0,0,0,0,0,"14.90",0,0,0,0,6,0,"0.50",0,0,22,0,0,0,"0.0","89.5",0,0,0,0,0,0,0,0,
"Tomate P.C.",100,"gr","22.20","0.8","4.3","0.2",0,0,0,0,0,0,0,0,"18.40",0,0,0,0,7,0,"0.60",0,0,20,0,0,0,"0.17","94.2",0,0,0,0,0,0,0,0,
"Tomate italiano P.C.",100,"gr","19.40","0.8","3.6","0.2",0,0,0,0,0,0,0,0,"32.50",0,0,0,0,7,0,"0.30",0,0,25,0,0,0,"0.17","94.8",0,0,0,0,0,0,0,0,
"Tomate, con carne salsa de ",100,"gr","106.10","2.7","11.0","5.7",0,0,0,0,0,0,0,0,"9.40",0,0,0,0,20,0,"2.10",0,0,67,0,0,0,"0.0","77.7",0,0,0,0,0,0,0,0,
"Tomate, salsa de",100,"gr","27.90","1.5","3.9","0.7",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,117,0,"3.00",0,0,64,0,0,0,"0.20","75.0",0,0,0,0,0,0,0,0,
"Vainitas P.C.",100,"gr","44.70","2.4","8.1","0.3",0,0,0,0,0,0,0,0,"9.60",0,0,0,0,88,0,"1.40",0,0,49,0,0,0,"0.24","88.2",0,0,0,0,0,0,0,0,
"Zanahoria amarilla sin cáscara",100,"gr","43.70","0.6","9.2","0.5",0,0,0,0,0,0,0,0,"17.40",0,0,0,0,33,0,"0.50",0,0,16,0,0,0,"0.24","89.0",0,0,0,0,0,0,0,0,
"Zapallo italiano P.C.",100,"gr","17.00","0.9","2.9","0.2",0,0,0,0,0,0,0,0,"26.20",0,0,0,0,27,0,"0.30",0,0,34,0,0,0,"0.0","95.4",0,0,0,0,0,0,0,0,
"Zapallo loche P.C.",100,"gr","91.70","1.6","21.1","0.1",0,0,0,0,0,0,0,0,"2.60",0,0,0,0,20,0,"1.20",0,0,57,0,0,0,"0.15","75.7",0,0,0,0,0,0,0,0,
"Aceite vegetal de algodón",100,"gr","900.00","0.0","0.0","100.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00","0.0",0,0,0,0,0,0,0,0,
"Aceite vegetal de girasol",100,"gr","900.00","0.0","0.0","100.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00","0.0",0,0,0,0,0,0,0,0,
"Aceite vegetal de maíz",100,"gr","900.00","0.0","0.0","100.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00","0.0",0,0,0,0,0,0,0,0,
"Aceite vegetal de olivo",100,"gr","900.00","0.0","0.0","100.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00","0.0",0,0,0,0,0,0,0,0,
"Aceite vegetal de soya",100,"gr","900.00","0.0","0.0","100.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00","0.0",0,0,0,0,0,0,0,0,
"Almendras",100,"gr","623.14","21.9","20.0","50.6",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,216,0,"3.72",0,0,480,0,0,0,"3.12","4.5",0,0,0,0,0,0,0,0,
"Avellanas",100,"gr","673.15","13.7","17.0","61.2",0,0,0,0,0,0,0,0,"2.00",0,0,0,0,149,0,"3.30",0,0,310,0,0,0,"2.20","5.8",0,0,0,0,0,0,0,0,
"Cacao, semillas secas",100,"gr","603.50","12.0","34.7","46.3",0,0,0,0,0,0,0,0,"3.00",0,0,0,0,106,0,"3.60",0,0,537,0,0,0,"0.0","3.6",0,0,0,0,0,0,0,0,
"Castaña peruana (Nuez de Brasil)",100,"gr","708.70","14.3","14.6","65.9",0,0,0,0,0,0,0,0,"2.70",0,0,0,0,170,0,"2.10",0,0,850,0,0,0,"4.06","1.2",0,0,0,0,0,0,0,0,
"Maní tostado, sin película",100,"gr","635.00","27.1","16.9","51.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,48,0,"2.20",0,0,298,0,0,0,"3.31","2.0",0,0,0,0,0,0,0,0,
"Manteca vegetal",100,"gr","895.50","0.0","0.0","99.5",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00","0.1",0,0,0,0,0,0,0,0,
"Mantequilla",100,"gr","746.00","2.0","0.0","82.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.0","16.0",0,0,0,0,0,0,0,0,
"Mantequilla con sal",100,"gr","733.63","0.9","0.1","81.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,24,0,"0.02",0,0,24,0,0,0,"0.09","15.9",0,0,0,0,0,0,0,0,
"Margarina vegetal con sal",100,"gr","732.60","0.6","0.3","81.0",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00",0,0,0,0,0,0,"0.00","16.0",0,0,0,0,0,0,0,0,
"Nueces",100,"gr","702.65","15.2","13.7","65.2",0,0,0,0,0,0,0,0,"1.30",0,0,0,0,98,0,"0.0",0,0,346,0,0,0,"3.09","4.1",0,0,0,0,0,0,0,0,
"Arveja partida, harina de",100,"gr","353.90","21.6","64.4","1.1",0,0,0,0,0,0,0,0,"1.50",0,0,0,0,102,0,"5.50",0,0,351,0,0,0,"0.0","10.1",0,0,0,0,0,0,0,0,
"Arveja, fresca sin vaina",100,"gr","109.00","7.1","18.8","0.6",0,0,0,0,0,0,0,0,"22.30",0,0,0,0,27,0,"1.70",0,0,134,0,0,0,"1.24","72.6",0,0,0,0,0,0,0,0,
"Frijol amarillo común",100,"gr","341.90","21.1","61.0","1.5",0,0,0,0,0,0,0,0,"3.50",0,0,0,0,94,0,"9.70",0,0,455,0,0,0,"2.83","12.6",0,0,0,0,0,0,0,0,
"Frijol caballero",100,"gr","338.30","22.9","58.3","1.5",0,0,0,0,0,0,0,0,"2.50",0,0,0,0,137,0,"5.10",0,0,274,0,0,0,"3.67","12.5",0,0,0,0,0,0,0,0,
"Frijol caballero o blanco cocido",100,"gr","94.00","5.1","17.5","0.4",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,46,0,"1.40",0,0,75,0,0,0,"1.38","75.8",0,0,0,0,0,0,0,0,
"Frijol canario",100,"gr","346.90","21.9","60.1","2.1",0,0,0,0,0,0,0,0,"6.30",0,0,0,0,138,0,"6.60",0,0,351,0,0,0,"2.83","11.7",0,0,0,0,0,0,0,0,
"Frijol canario cocido",100,"gr","87.30","5.2","15.5","0.5",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,45,0,"1.60",0,0,85,0,0,0,"1.06","77.8",0,0,0,0,0,0,0,0,
"Frijol canario fresco",100,"gr","169.30","9.7","31.5","0.5",0,0,0,0,0,0,0,0,"9.20",0,0,0,0,60,0,"3.00",0,0,287,0,0,0,"0.0","56.5",0,0,0,0,0,0,0,0,
"Frijol canario serranito",100,"gr","346.20","19.2","63.3","1.8",0,0,0,0,0,0,0,0,"4.50",0,0,0,0,149,0,"4.00",0,0,362,0,0,0,"2.79","12.2",0,0,0,0,0,0,0,0,
"Frijol castilla",100,"gr","339.40","22.5","58.3","1.8",0,0,0,0,0,0,0,0,"2.10",0,0,0,0,97,0,"7.50",0,0,387,0,0,0,"2.79","13.6",0,0,0,0,0,0,0,0,
"Frijol negro",100,"gr","338.10","18.2","63.4","1.3",0,0,0,0,0,0,0,0,"2.30",0,0,0,0,133,0,"9.30",0,0,308,0,0,0,"3.65","13.6",0,0,0,0,0,0,0,0,
"Frijol panamito",100,"gr","344.10","21.5","60.7","1.7",0,0,0,0,0,0,0,0,"5.80",0,0,0,0,174,0,"6.30",0,0,427,0,0,0,"2.81","12.2",0,0,0,0,0,0,0,0,
"Frijol shimpe fresco",100,"gr","52.10","3.7","9.1","0.1",0,0,0,0,0,0,0,0,"1.00",0,0,0,0,46,0,"1.40",0,0,78,0,0,0,"0.0","86.0",0,0,0,0,0,0,0,0,
"Garbanzo cocido",100,"gr","101.80","2.5","18.9","1.8",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,54,0,"1.20",0,0,60,0,0,0,"1.53","75.9",0,0,0,0,0,0,0,0,
"Garbanzos",100,"gr","372.10","19.2","60.1","6.1",0,0,0,0,0,0,0,0,"5.40",0,0,0,0,120,0,"8.30",0,0,370,0,0,0,"3.43","11.4",0,0,0,0,0,0,0,0,
"Habas frescas, sin cáscara y sin vaina",100,"gr","156.00","11.3","25.9","0.8",0,0,0,0,0,0,0,0,"28.50",0,0,0,0,31,0,"2.00",0,0,137,0,0,0,"0.58","60.6",0,0,0,0,0,0,0,0,
"Habas secas sin cáscara cocida",100,"gr","107.70","7.3","18.5","0.5",0,0,0,0,0,0,0,0,"0.90",0,0,0,0,64,0,"0.90",0,0,53,0,0,0,"1.01","72.8",0,0,0,0,0,0,0,0,
"Habas, harina de",100,"gr","352.70","24.3","59.6","1.9",0,0,0,0,0,0,0,0,"4.70",0,0,0,0,67,0,"6.70",0,0,393,0,0,0,"3.14","11.9",0,0,0,0,0,0,0,0,
"Lentejas chicas",100,"gr","343.40","22.6","61.0","1.0",0,0,0,0,0,0,0,0,"5.50",0,0,0,0,73,0,"7.60",0,0,375,0,0,0,"4.78","13.0",0,0,0,0,0,0,0,0,
"Lentejas chicas cocidas",100,"gr","99.70","6.4","18.3","0.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,43,0,"1.70",0,0,80,0,0,0,"1.27","74.6",0,0,0,0,0,0,0,0,
"Lentejas grandes",100,"gr","346.70","23.2","61.0","1.1",0,0,0,0,0,0,0,0,"4.40",0,0,0,0,71,0,"4.80",0,0,263,0,0,0,"4.78","12.4",0,0,0,0,0,0,0,0,
"Pallar seco",100,"gr","338.00","20.4","61.4","1.2",0,0,0,0,0,0,0,0,"7.50",0,0,0,0,70,0,"6.70",0,0,318,0,0,0,"2.83","11.6",0,0,0,0,0,0,0,0,
"Pallar sin cáscara",100,"gr","345.40","21.6","61.6","1.4",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,38,0,"5.20",0,0,205,0,0,0,"2.83","12.2",0,0,0,0,0,0,0,0,
"Pallares con cáscara cocida",100,"gr","106.00","5.9","19.7","0.4",0,0,0,0,0,0,0,0,"0.10",0,0,0,0,28,0,"1.10",0,0,34,0,0,0,"0.95","72.5",0,0,0,0,0,0,0,0,
"Camote amarillo sin cáscara",100,"gr","117.00","1.2","27.6","0.2",0,0,0,0,0,0,0,0,"10.00",0,0,0,0,41,0,"0.80",0,0,31,0,0,0,"0.30","69.9",0,0,0,0,0,0,0,0,
"Camote blanco",100,"gr","120.90","1.7","28.3","0.1",0,0,0,0,0,0,0,0,"12.90",0,0,0,0,26,0,"2.50",0,0,33,0,0,0,"0.0","68.8",0,0,0,0,0,0,0,0,
"Camote morado sin cáscara",100,"gr","111.10","1.4","25.7","0.3",0,0,0,0,0,0,0,0,"13.60",0,0,0,0,36,0,"1.40",0,0,40,0,0,0,"0.0","71.6",0,0,0,0,0,0,0,0,
"Camote, harina de",100,"gr","353.70","2.1","84.3","0.9",0,0,0,0,0,0,0,0,"7.90",0,0,0,0,153,0,"5.70",0,0,99,0,0,0,"0.30","9.9",0,0,0,0,0,0,0,0,
"Maca (Tubérculo seco)",100,"gr","326.80","11.8","66.3","1.6",0,0,0,0,0,0,0,0,"2.50",0,0,0,0,247,0,"14.70",0,0,183,0,0,0,"0.0","15.3",0,0,0,0,0,0,0,0,
"Maca silvestre",100,"gr","75.80","3.5","13.2","1.0",0,0,0,0,0,0,0,0,"2.10",0,0,0,0,37,0,"49.90",0,0,0,0,0,0,"0.0","79.8",0,0,0,0,0,0,0,0,
"Maca, afrechillo",100,"gr","341.00","10.5","73.4","0.6",0,0,0,0,0,0,0,0,"2.00",0,0,0,0,475,0,"29.30",0,0,135,0,0,0,"0.0","12.0",0,0,0,0,0,0,0,0,
"Maca, almidón",100,"gr","355.60","6.1","80.1","1.2",0,0,0,0,0,0,0,0,"2.80",0,0,0,0,175,0,"31.70",0,0,70,0,0,0,"0.0","11.0",0,0,0,0,0,0,0,0,
"Maca, pasta integral",100,"gr","338.60","14.0","68.4","1.0",0,0,0,0,0,0,0,0,"8.00",0,0,0,0,245,0,"25.00",0,0,192,0,0,0,"0.0","11.1",0,0,0,0,0,0,0,0,
"Olluco sin cáscara",100,"gr","62.50","1.1","14.3","0.1",0,0,0,0,0,0,0,0,"11.50",0,0,0,0,3,0,"1.10",0,0,28,0,0,0,"0.0","83.7",0,0,0,0,0,0,0,0,
"Papa amarilla sin cáscara",100,"gr","104.80","2.0","23.3","0.4",0,0,0,0,0,0,0,0,"9.00",0,0,0,0,6,0,"0.40",0,0,52,0,0,0,"0.29","73.2",0,0,0,0,0,0,0,0,
"Papa blanca",100,"gr","98.50","2.1","22.3","0.1",0,0,0,0,0,0,0,0,"14.00",0,0,0,0,9,0,"0.50",0,0,47,0,0,0,"0.29","74.5",0,0,0,0,0,0,0,0,
"Papa chuño negro",100,"gr","335.40","4.0","79.4","0.2",0,0,0,0,0,0,0,0,"1.70",0,0,0,0,44,0,"0.90",0,0,203,0,0,0,"0.0","14.1",0,0,0,0,0,0,0,0,
"Papa color morado deshidratada",100,"gr","333.00","8.7","74.1","0.2",0,0,0,0,0,0,0,0,"1.40",0,0,0,0,23,0,"2.60",0,0,180,0,0,0,"0.0","13.3",0,0,0,0,0,0,0,0,
"Papa Huayro con cáscara",100,"gr","72.46","1.9","15.9","0.1",0,0,0,0,0,0,0,0,"8.60",0,0,0,0,10,0,"0.73",0,0,61,0,0,0,"0.33","81.0",0,0,0,0,0,0,0,0,
"Papa seca",100,"gr","330.30","8.2","72.8","0.7",0,0,0,0,0,0,0,0,"3.20",0,0,0,0,47,0,"4.50",0,0,200,0,0,0,"0.0","14.8",0,0,0,0,0,0,0,0,
"Remolacha raíz",100,"gr","46.21","1.6","9.6","0.2",0,0,0,0,0,0,0,0,"4.90",0,0,0,0,16,0,"0.80",0,0,40,0,0,0,"0.35","87.6",0,0,0,0,0,0,0,0,
"Yuca amarilla fresca sin cáscara",100,"gr","160.60","0.6","39.1","0.2",0,0,0,0,0,0,0,0,"36.30",0,0,0,0,35,0,"0.40",0,0,62,0,0,0,"0.24","59.0",0,0,0,0,0,0,0,0,
"Yuca asada",100,"gr","182.70","0.6","44.4","0.3",0,0,0,0,0,0,0,0,"22.90",0,0,0,0,29,0,"0.20",0,0,69,0,0,0,"0.24","53.7",0,0,0,0,0,0,0,0,
"Yuca blanca fresca sin cáscara",100,"gr","162.20","0.8","39.3","0.2",0,0,0,0,0,0,0,0,"30.70",0,0,0,0,25,0,"0.50",0,0,52,0,0,0,"0.24","58.9",0,0,0,0,0,0,0,0,
"Yuca blanca sancochada",100,"gr","149.40","0.5","36.4","0.2",0,0,0,0,0,0,0,0,"22.70",0,0,0,0,26,0,"0.20",0,0,60,0,0,0,"0.24","62.0",0,0,0,0,0,0,0,0,
"Yuca, harina de",100,"gr","334.90","1.7","80.9","0.5",0,0,0,0,0,0,0,0,"13.60",0,0,0,0,155,0,"5.30",0,0,110,0,0,0,"0.0","14.3",0,0,0,0,0,0,0,0,
"abadejo",100,"gr","86.58","19.4","0.0","1.0","46.0","47.0","185.0","3.270,0","358.0","287.0","3.0","3.2","0.0","42.0","230.0","0.1","75.800,0","60.000,0","50.0","460.0","67.000,0","15.0","221.000,0","356.000,0","36.5","86.000,0","470.0","78.2","0.0","71.0","0.1","0.1","0.5","0.0","0.0",0,"koolvis"
"aceite de canola",100,"gr","900.00","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.460,0","71.3","200.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.4","63.3","28.1","0.0","0.0",0,"koolzaadolie"
"aceite de girasol",100,"gr","900.00","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.080,0","5.4","200.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.3","19.5","65.7","0.0","0.0","Great source of vitamin E","zonnebloemolie"
"aceite de linaza",100,"gr","900.00","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.500,0","0.0","200.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.4","20.2","66.0","0.0","0.0","Great source of omega-3 fatty acids","lijnzaadolie"
"aceite de maíz (aceite de maíz)",100,"gr","900.00","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.300,0","1.9","200.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.9","27.6","54.7","0.0","0.0",0,"ma‹solie"
"aceite de oliva",100,"gr","900.00","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.350,0","60.2","300.0","1.000,0","0.0","560.0","0.0","0.0","0.0","1.000,0","0.0","2.000,0","0.0","0.0","0.0","0.0","13.8","73.0","10.5","0.0","0.0","Monounsaturated fatty acids: 72.96 g ","olijfolie"
"aceite de pescado, el salmón",100,"gr","900.00","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","485.0","19.9","29.0","40.3","0.0","0.0","Great source of omega-3 fatty acids","visolie, zalm"
"aceite de soja",100,"gr","900.00","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.180,0","183.9","200.0","0.0","0.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","15.7","22.8","57.7","0.0","0.0",0,"sojaolie"
"aceitunas",100,"gr","124.52","0.8","6.3","10.7","403.0","3.0","0.0","37.0","15.0","9.0","0.0","0.0","900.0","0.0","1.650,0","1.4","10.300,0","88.000,0","251.0","3.300,0","4.000,0","20.0","3.000,0","8.000,0","0.9","872.000,0","220.0","80.0","3.2","0.0","1.4","7.9","0.9","0.0","15.0","Contains lots of monounsaturated fatty acids","olijven"
"aceitunas negras",100,"gr","331.60","2.2","30.3","22.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"achicoria (witlof)",100,"gr","20.50","0.9","4.0","0.1","29.0","62.0","27.0","160.0","145.0","42.0","37.0","0.0","2.800,0","0.0","0.0","0.0","0.0","19.000,0","51.0","240.0","10.000,0","100.0","26.000,0","211.000,0","0.2","2.000,0","160.0","94.5","3.1","0.0","0.0","0.0","0.0","0.0","15.0",0,"witloof"
"agua",100,"gr","0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Drink at least 2 to 3 liter water per day.","water"
"ajo",100,"gr","162.18","6.4","33.1","0.5","9.0","200.0","110.0","700.0","596.0","1.235,0","3.0","0.0","31.200,0","0.0","80.0","1.7","23.200,0","181.000,0","299.0","1.700,0","25.000,0","1.672,0","153.000,0","401.000,0","14.2","17.000,0","1.160,0","58.6","2.1","0.0","0.1","0.0","0.2","1.0","30.0",0,"look"
"Albaricoques",100,"gr","53.59","1.4","11.1","0.4","1.926,0","30.0","40.0","600.0","240.0","54.0","9.0","0.0","10.000,0","0.0","890.0","3.3","2.800,0","13.000,0","78.0","390.0","10.000,0","77.0","23.000,0","259.000,0","0.1","1.000,0","200.0","86.4","2.0","0.0","0.0","0.2","0.1","9.2","45.0",0,"abrikozen"
